Name,Price,Quantity,Total,Grand Total
Amphibian Beast (LON-008),3.51,1,3.51,
Penguin Soldier (RP01-EN089)(Unlimited),151.84,1,151.84,
Frostosaurus,45,3,135,
Gishki Emilia,14.06,9,126.54,
Mobius the Frost Monarch (TP8),95.58,1,95.58,
Wind-Up Shark,9.17,10,91.7,
Mermail Abysstruge (1st Edition),33.69,2,67.38,
Gishki Marker,7.88,8,63.04,
Geomancer of the Ice Barrier,14.91,4,59.64,
Superancient Deepsea King Coelacanth,57.26,1,57.26,
Gishki Vanity,18.64,3,55.92,
Gishki Mollusk,7.88,6,47.28,
Gishki Reliever,6.55,7,45.85,
Tribe-Infecting Virus,9,5,45,
Mermail Abyssbalaen,33.69,1,33.69,
Penguin Soldier (SDJ-022)(Unlimited),2.99,11,32.89,
Samurai of the Ice Barrier (HA03-EN019)(1st Edition),9.74,3,29.22,
Lion Alligator,5.37,5,26.85,
Submarineroid,6.53,4,26.12,
B.E.S. Crystal Core,6.53,4,26.12,
Samurai of the Ice Barrier (HA03-EN019)(Unlimited),24.76,1,24.76,
Performapal Turn Toad,5.98,4,23.92,
Gishki Noellia,3.71,6,22.26,
Evigishki Tetrogre,7,3,21,
Phantom Dragonray Bronto,20.99,1,20.99,
Catapult Turtle,4.99,4,19.96,
Catapult Turtle (DB2-EN047),19.89,1,19.89,
Mermail Abysstruge (Unlimited),6.55,3,19.65,
Cloudian - Sheep Cloud,19.65,1,19.65,
Ocean Dragon Lord - Neo-Daedalus,4.51,4,18.04,
Blizzard Warrior,2,9,18,
Spawn Alligator,5.98,3,17.94,
Deep Sea Diva,8.52,2,17.04,
"Blizzed, Defender of the Ice Barrier (Unlimited)",16.5,1,16.5,
Neo-Spacian Aqua Dolphin,16.47,1,16.47,
White Night Dragon,5.44,3,16.32,
Spellbreaker of the Ice Barrier,15.96,1,15.96,
Cold Enchanter (Unlimited),4.98,3,14.94,
Samurai of the Ice Barrier (BP02-EN088)(1st Edition),14.4,1,14.4,
Slushy,3.5,4,14,
Imairuka,6.39,2,12.78,
Shore Knight (1st Edition),6.34,2,12.68,
Mother Grizzly (Unlimited),3.14,4,12.56,
Orca Mega-Fortress of Darkness (Unlimited),6.05,2,12.1,
Hyper-Ancient Shark Megalodon,2,6,12,
Nightmare Penguin,5.98,2,11.96,
Mermail Abysspike (Unlimited),2.99,4,11.96,
Gazer Shark,5.98,2,11.96,
Carrierroid,3.91,3,11.73,
The Legendary Fisherman,10.99,1,10.99,
Sinister Serpent,2.18,5,10.9,
Mermail Abyssmander,3.51,3,10.53,
Hammer Shark,3.99,2,7.98,
Sylvan Mikorange,7.88,1,7.88,
Mother Grizzly (1st Edition),2.5,3,7.5,
Gishki Ariel,2.36,3,7.08,
Mobius the Frost Monarch (BP01),6.96,1,6.96,
Water Dragon,2.2,3,6.6,
XYZ Remora,6.6,1,6.6,
Mobius the Frost Monarch (SD4),6.54,1,6.54,
Strategist of the Ice Barrier,6.39,1,6.39,
Cold Enchanter,6.11,1,6.11,
Lion Alligator (Unlimited),5.99,1,5.99,
Gishki Vision,2.77,2,5.54,
Gladiator Beast Torax,5.31,1,5.31,
Orca Mega-Fortress of Darkness (1st Edition),5.24,1,5.24,
Penguin Soldier (BP01-EN057)(Unlimited),5,1,5,
Spiral Serpent,4.99,1,4.99,
Shore Knight (Unlimited),4.98,1,4.98,
Hyper-Ancient Shark Megalodon (Unlimited),4.98,1,4.98,
Uminotaurus,4.91,1,4.91,
Gishki Abyss,4.25,1,4.25,
Toon Mermaid,1.95,2,3.9,
Jowls of Dark Demise,3.77,1,3.77,
Frostosaurus (BP02-EN003),1.2,3,3.6,
Mermail Abyssmegalo,3.47,1,3.47,
Mermail Abysspike (1st Edition),3.45,1,3.45,
Penguin Soldier (SDRE-EN018)(1st Editition),1.67,2,3.34,
Dewdark of the Ice Barrier,3.07,1,3.07,
"Blizzed, Defender of the Ice Barrier (Limited Edition)",2.7,1,2.7,
